한자,뜻,훈,음
恋,그리워할 련,れん,こう、こい、こいしい
錬,불릴、단련할 련,れん,ねる
列,벌일 렬,れつ,
劣,못할 렬,れつ,おとる
烈,매울 렬,れつ,
裂,찢을 렬,れつ,さく、さける
廉,청렴할 렴,れん,
猟,사냥 렵,りょう,
令,하여금 령,れい,
領,거느릴 령,りょう,
鈴,방울 령,れい、りん,すず
零,떨어질 령、영 령,れい,
霊,신령 령,れい、りょう,たま
齢,나이 령,れい,
礼,예도 례,れい、らい,
例,법식 례,れい,たどえる
隷,종 례,れい,
路,길 로,ろ,じ
老,늙을 로,ろう,おいる、ふける
労,일할 로,ろう,
炉,화로 로,ろ,
虜,사로잡을 로,りょ,とりこ
露,이슬 로,ろ、ろう,つゆ
緑,푸를 록,りょく、ろく,みどり
録,기록할 록,ろく,
鹿,사슴 록,ろく,しか、か
麓,산기슭 록,ろく,ふもと
論,논할 론,ろん,
弄,희롱할 롱,ろう,もてあそぶ
滝,비 올 롱,,たき
籠,대바구니 롱,ろう,かご、こもる
雷,우레 뢰,らい,かみなり
賂,뇌물 뢰,ろ,まいない
頼,의뢰할 뢰,らい,たのむ、たのもしい、たよる
瀬,여울 뢰,,せ
料,헤아릴 료,りょう,
了,마칠 료,りょう,
僚,동료 료,りょう,
寮,동관 료,りょう,
療,병 고칠 료,りょう,
瞭,밝을 료,りょう,
竜,용 룡,りゅう,たつ
涙,눈물 루,るい,なみだ
累,여러、자주 루,るい,
塁,보루 루,るい,
楼,다락 루,ろう,
漏,샐 루,ろう,もる、もれる、もらす
流,흐를 류,りゅう、る,ながれる、ながす
類,무리 류,るい,
留,머무를 류,りゅう、る,とめる、とまる、とどまる
柳,버들 류,りゅう,やなぎ
硫,유황 류,りゅう,
瑠,맑은 유리 류,る,
陸,뭍 륙,りき,
輪,바퀴 륜,りん,わ
倫,인륜 륜,りん,
率,비율 률、거느릴 솔,りつ、そつ,ひきいる
律,법칙 률,りつ、りち,
慄,떨릴 률,りつ,
隆,높을 륭 ,りゅう,
陵,언덕 릉,りょう,みささぎ
理,다스릴 리,り,
里,마을 리,り,さと
利,이로울 리,り,きく
裏,속 리,り,うら
吏,관리 리,り,
厘,이 리,りん,
梨,배나무 리,り,なし
痢,설사 리,り,
履,밟을 리,り,はく
璃,유리 리,り,
離,떠날 리,り,はなれる、はなす
隣,이웃 린,りん,となり、となる
林,수풀 림,りん,はやし
臨,임할 림,りん,のぞむ
立,설 립,りつ、りゅう,たつ、たてる
粒,낟알 립,りゅう,つぶ
馬,말 마,ば,うま、ま
麻,삼 마,ま,あさ
摩,문지를 마,ま,
磨,갈 마,ま,みがく
魔,마귀 마,ま,
幕,장막 막,まく,
漠,넓을、사막 막,ばく,
膜,꺼풀、막 막,まく,
万,일만 만,まん、ばん,
満,찰 만,まん,みちる、みたす
晩,늦을 만,ばん,
蛮,오랑캐 만,ばん,
湾,물굽이 만,わん,
漫,흩어질 만,まん,
慢,거만할 만,まん,
末,끝 말,まつ、ばつ,すえ
抹,지울 말,まつ,
望,바랄 망,ぼう、もう,のぞむ
亡,망할 망,ぼう、もう,ない
忘,잊을 망,ぼう,わすれる
忙,바쁠 망,ぼう,いそがしい
妄,망령될 망,もう,
網,그물 망,もう,あみ
毎,매양 매,まい,
売,팔 매,ばい,うる、うれる
妹,누이 매,まい,いもうと
買,살 매,ばい,かう
梅,매화 매,ばい,うめ
枚,낱 매,まい,
昧,어두울 매,まい,
埋,묻을 매,まい,うめる、うまる、うもれる
媒,중매 매,ばい,
魅,매혹할 매,み,
罵,꾸짖을 매,ば,ののしる
麦,보리 맥,ばく,むぎ
脈,줄기 맥,みゃく,
盟,맹세 맹,めい,
盲,소경、 눈 멀 맹,もう,
猛,사나울 맹,もう,
面,낮 면,めん,おも、おもて、つら
勉,힘쓸 면,べん,
綿,솜 면,めん,わた
免,면할 면,めん,まぬかれる
眠,잘 면,みん,ねむる、ねむい
麺,밀가루 면,めん,
滅,꺼질、 멸할 멸,めつ,ほろびる、ほろぼす
蔑,업신여길 멸,べつ,さげすむ
名,이름 명,めい、みょう,な
明,밝을 명,みょう、めい,あかり、あかるい、あかるむ、あからむ、あきらか、あくる、あける、あく、あかす
鳴,울 명,めい,なる、なく、ならす
皿,그릇 명,,さら
命,목숨 명,めい、みょう,いのち
冥,어두울 명,めい、みょう,
銘,새길 명,めい,
毛,터럭 모,もう,け
母,어머니 모,ぼ,はは
模,본뜰 모,も、ぼ,
暮,저물 모,ぼ,くれる、くらす
矛,창 모,む,ほこ
侮,업신여길 모,ぶ,あなどる
冒,무릅쓸 모,ぼう,おかす
某,아무 모,ぼう,
耗,소모할 모,もう、こう,へらす、へる
募,모을、뽑을 모,ぼ,つのる
帽,모자 모,ぼう,
慕,그릴 모,ぼ,したう
貌,모양 모,ぼう,かお、かたち
謀,꾀 모,ぼう、む,はかる
木,나무 목,もく、ぼく,き、こ
目,눈 목,もく、ぼく,め、ま
牧,칠 목,ぼく,まき
睦,화목할 목,ぼく,むつまじい
没,빠질 몰,ぼつ,
夢,꿈 몽,む,ゆめ
墓,무덤 묘,ぼ,はか
妙,묘할 묘,みょう,
苗,모 묘,びょう、みょう,なえ、なわ
畝,이랑 묘,,うね、せ
描,그릴 묘,びょう,えがく、かく
猫,고양이 묘,びょう,ねこ
無,없을 무,む、ぶ,ない
武,호반 무,ぶ、む,
務,힘쓸 무,む,つとめる、つとまる
貿,무역할 무,ぼう,
茂,무성할 무,も,しげる
